ID	relation	seg1_text	seg2_text	annot_AKSJ3C5O3V9RB	annot_A2QQY4S73JO639	annot_A36SM7QM8OK3H6
AAAI2018_01_09	support	Even criminals have family. 	Imagine it's one of your family members that is accused, and then killed by the state, and you know he's innocent! How do you feel??	entailment	neu	neu
ComArg_GM_0182	neutral	Gay marriage should be legal because love is love.  I am Christian and I know that apparently it says something in the bible about no gay marriage. But how are we going to base our life off of a book that was written how long ago? God loves his children, and believe it or not, he loves his gay/bisexual children too. They were born this way, straight, gay, or bi.  Everyone who thinks other should check themselves.  They are on the wrong side of history. If you don't believe in gay marriage, don't marry someone the same gender as you. Simple as that.	Gay couples should be able to take advantage of the fiscal and legal benefits of marriage	entailment	entailment	neu
AbstRCT_23989945_04	support	Seventy-eight percent of patients expressed satisfaction with their treatment whatever their location, whereas 57% of patients preferred future treatment to continue at the hospital, 81% at GP surgeries and 90% at home.	Nevertheless, both community settings were acceptable to and preferred by patients compared with hospital, were safe, with no detrimental impact on overall health-care costs.	entailment	entailment	entailment
AbstRCT_7502428_06	attack	Thus far, with a median follow-up of 86 weeks, median survival has not been reached in either group.	From the 1-year survival analysis, the hazard ratio for probability of death was 1.29 (95% CI, 0.96 to 1.72).	neu	neu	entailment
Web_4035	support	this film is easily one of the best movies ive ever seen yes it is pretty easy to guess the ending but it still wasnt ruined by that fact it is a work of art it is rewatchable	i wholeheartedly agree ive just seen it tonight and was blown away by it i will be thinking of this movie for a long time	entailment	entailment	entailment
veri_25	neu	Paul is a college student.	Paul is from France.	neu	neu	neu
JoKialo_causal_12913	neutral	Other voting systems that end two-party domination may do it so quickly that they get repealed and outlawed by the scared higher levels of government.	The less explicitly utilitarian a method, and more easily it can be defined in terms of pairwise relations/Condorcet, the less initial resistance it faces in overcoming traditional views on majority rule and how politics should be.	entailment	neu	neu
JoDeb_norm_5169	support	Coca leaf growth, product-development, and chewing should be legal.	Wrong to ban local coca to prevent foreign cocaine consumption.	entailment	entailment	neu
AbstRCT_21224783_02	support	After the exercise program, improvements were observed in Group 1 in 6-minute walk test, BDI, EORTC QLQ-C30 functional, and EORTC QLQ-C30 BR23 functional scores (P<0.05).	Pilates exercises are effective and safe in female breast cancer patients.	neu	entailment	entailment
JoDeb_norm_0310	support	9/11 suspects should be tried in NY courts, as ordered by US AG Eric Holder.	US courts have successfully tried many terrorists	neu	entailment	neu
Webis-Debate_0621	attack	This article overlaps greatly with Microfabrication. I admit that the two terms are not exactly synonymous, and each includes some areas that the other does not. However, I think that we should restructure our coverage of micro/electronic fabrication to eliminate this overlap and clearly identify non-overlapping areas. --	per Dick. While microfabrication has largely been a semiconductor-dominated field in the past, the development of biomedical MEMS and the like have provided the motivation for developing microfabrication techniques for totally unrelated materials like polymers. These articles should remain separate and have little overlap, even if the articles' current status don't reflect this ideal. -- mattb @ 2007-01-18T19:55Z	contradiction	neu	neu
ComArg_UGIP_0134	neutral	Its apart of the pledge. You are not required to say it. And if you don't want to say it, DON'T! People are really making a huge deal because the pledge says Under God Well if you don't agree with it don't say it. It should'nt be changed for a few athiest out there. If they take it out its going to make a lot more people mad then angry.	Implies ultimate power on the part of the state	neu	contradiction	neu
veri_23	neu	The cake is tasty.	The cake is vegan.	neu	neu	neu
IBM_stance_1559	support	This house would build high rises for housing	Planning policies that increase population densities in urban areas tend to reduce car use	neu	entailment	neu
micro_k022_04	support	Furthermore, there's no need to keep shops open on Sundays.	It is quite clear that Sunday should remain a day of rest.	entailment	entailment	entailment
QT50_nodeset29310_013	support	we're seeing it already with very low lying islands, the Maldives, other places	people are having to leave their homes and resettle	entailment	entailment	neu
Web_0035	neutral	A forensic examination of UKIP's policies would nail once and for all the Establishment lie that they're a bunch of swivel-eyed racists.	In others, they have thrown up new evidence and perspectives on our relationship with the EU.	neu	entailment	neu
