ID	relation	seg1_text	seg2_text	annot_A3PYB8Z6FFWSOV	annot_A36SM7QM8OK3H6
FinARG_AMZN_Q2_2015_17330_9_02	support	we definitely are delivering a lot of packages with the post office.	so we try lots of things for fulfillment.	neu	neu
US2016_nodeset10384_004	support	it's horrible how biased the coverage is	user progress18 is also the moderator of /r/HillaryClinton and a full-time poster on /r/Democrat	neu	neu
UKP_gun_control_2451	neutral	Gun laws should be more restrictive.	The NRA ’s reasoning is a prescription for chaos — and it does n’t withstand contact with empirical reality .	neu	entailment
ArgEss_essay253_05	neutral	This will address students' interests	by bridging the theories with daily life events, students are given the chance to apply knowledge to their lives and develop their own ability of problem-solving	neu	neu
AbstRCT_21366974_01	support	No significant difference was found in the overall quality of life measure, with the no RT group having 0.36 units greater quality of life than the RT group (95% CI -5.09 to 5.81).	No significant difference was found in the overall quality of life measure, with the no RT group having 0.36 units greater quality of life than the RT group (95% CI -5.09 to 5.81).	entailment	entailment
veri_23	neu	The cake is tasty.	The cake is vegan.	neu	neu
IBM_stance_0744	support	This house would fund education using a voucher scheme	Vouchers deliver better services to special education students	neu	neu
QT50_nodeset29116_019	support	AudienceMember 20230209QT15 knows the world we're living in	the Bank of England trying to get the interest rates back down again to a manageable level leaves an unfair advantage to the private sector	neu	neu
Webis-Debate_1729	support	Is the book itself a reliable source? This question extends to the comment in the dust cover.	Following Wikipedia:Reliable sources#Extremist and fringe sources. As this article is about reincarnation, sources by reincarnation believers are appropriate to use in the article as sources of information about those organisations or individuals. The book has generated approval by reincarnation researcher Jim Tucker.	neu	neu
NK_deb_1044	support	The fact of the matter is that Mr. Nixon leads a party which has opposed progress for 25 years , and he is a representative of it . He leads a party which in 1935 voted 90 percent against a 25-cent minimum wage , and he leads a party which voted 90 percent in 1960 against $ 1.25 an hour minimum wage . [ Response from the audience .	And I do n't blame Mr. Nixon for trying to forget the record of a party which has opposed virtually every single Democratic measure designed to improve human welfare in this century , a party which has not initiated a single piece of forward looking social legislation since the time of William Howard Taft . Mr. Nixon did not ignore party affiliations between elections , when he led the Republican opposition to increased minimum wages , medical care for the aged , aid to education , help for distressed areas , and all the rest and the American people are not going to ignore Mr. Nixon 's party affiliation next week . The third Nixon theme is an attack on the policies of the Democratic Party .	neu	entailment
IBM_stance_0508	support	This house would abolish the monarchy	Monarchy encourages a feeling of dependency in many people who should instead have confidence in themselves and their fellow citizens	neu	neu
FinARG_AAPL_Q1_2015_17548_9_10	support	when i look at the usage, the usage is six times our nearest competitor.	i am still very optimistic and bullish on ipad over the long run, as i’ve indicated before.	neu	neu
veri_18	entailment	Charles is a king.	Charles is the member of a royal family.	entailment	entailment
QT30_nodeset20304_001	support	Michael Forsyth is completely wrong	in Scotland in the summer we brought the number of Covid-19 cases down to virtually zero	neu	neu
QT50_nodeset28396_002	support	there aren't many scientists becoming politicians	scientists mostly don't want to become politicians	neu	entailment
NK_deb_0532	attack	The Republican leadership of the Senate knows full well that under the parliamentary situation of these final crowded weeks - and in the political atmosphere of rancor that developed - no significant civil rights measure could have passed . This same political atmosphere has also prevented action on a farm bill and on adequate minimum wage , housing , health care for the aged , and education bills . But progressive legislation has not been the aim of the Republican leadership .	I believe that the most effective method is through a program which will provide a choice whereby people who want to have the protection for catastrophic illnesses or , for that matter , for noncatastrophic illnesses , if they so desire , can have it , but where they are not forced to have it if they do not desire , and where they can choose getting that protection through government or through private plans , which they might choose , with some government assistance . And I would agree with Senator Kennedy , incidentally , to this extent : he indicated that this would be an issue in the campaign , I think it will be an issue in the campaign , and the question will not be one of ends , because both of us believe that there should he protection for our older citizens for medical care . The question will be one of means .	neu	neu
QT50_nodeset28367_003	support	be cautious	there is a danger of infection	neu	neu
QT50_nodeset28413_002	support	AudienceMember 20220210QT12 thinks Victor Adebowale had a point about the messaging	Victor Adebowale had a point about messaging as Clive Myrie's report showed nine out of ten people in ICU were unvaccinated this should be the messaging scare tactics rather than Boris saying wash your hands, save lives	neu	entailment
JoDeb_norm_0318	support	The US should adopt a different method of electing its President.	The electoral college is undemocratic because it is not based on the popular vote:	neu	entailment
IBM_stance_0742	support	This house would fund education using a voucher scheme	vouchers improve academic outcomes at public schools	neu	entailment
Web_3214	attack	the process of evolution is fact	as i prepare to answer this question i realize i have essentially no knowledge about the theory of evolution besides darwinism and the title	neu	contradiction
US2016_nodeset10671_027	support	Bernie Sanders is not tough enough on guns	Senator Sanders did vote five times against the Brady bill	neu	neu
ComArg_UGIP_0604	neutral	No it should not be in the Pledge, the country was brought together on freedom of religion.	Implies ultimate power on the part of the state	neu	neu
AAAI2018_07_14	support	 The government has the tools to decide whether it is good or not to vaccinate the population. 	 The government and more precisely the law are there to support parents in the process of growing up their kids. 	neu	neu
AbstRCT_19720909_04	support	The arms were comparable with respect to toxicity except for leucopenia, neutropenia, infection, and alopecia.	VC, GC, and TC are not superior to PC in terms of overall survival (OS).	neu	neu
AAAI2018_01_14	attack	"Welcome to the first debate! The topic of the first debate is ""ban animal testing"""	But I don't think that we can have thousands and thousands of volunteers, and we should keep in mind that there are animals like mice on which we can make tests.	neu	neu
US2016_nodeset10669_008	support	CLINTON thinks what Senator Sanders is saying certainly makes sense in the terms of the inequality that we have	you can have all of the growth that you want and it doesn't mean anything if all of the new income and wealth is going to the top 1 percent	neu	neu
micro_d14_00	attack	As a boy he did use to scuffle with the other choirboys,	I think Fritz has never been in a fight in his life.	contradiction	contradiction
Webis-Debate_3563	neutral	I'm planning to request a Second opinion about the differences between myself and Routerone over the editing this page unless	I think a middle ground is possible here. Visions and miracles are often questioned by skeptics, and noting that skepticism is valid for this article. The possibility that the first vision was a delusion (or pious fraud, etc) is certainly plausible, but that can only be put into the section if there is a good source supporting it (and that source must specifically talk about the First Vision, not just JS in general). The original text had a quote from Brody, no? I would suggest cutting that text down to one sentence, focusing on the Brody quote. --	neu	neu
UKP_nuclear_energy_1541	neutral	Nuclear energy is a good energy source for the future.	Insiders will also play a vital role in efforts to democratise bureaucratic structures .	neu	neu
AAAI2018_08_09	support	 Everyone have a little bad idea in his mind, so having a gun it's not a good think. 	" I've been working in the educational field in USA, and there nothing worse than a kid talking about the gun of his father. As you cannot say ""the right to carry guns is for people without a kid only"". Than no right at all."	neu	neu
veri_21	neu	The student reads many books.	The student has a yellow bag.	neu	neu
QT30_nodeset19169_004	support	we don’t want track and trace to be overwhelmed	we need the track and trace up and working	neu	entailment
Webis-Debate_2178	support	"I see no problem with ""South African-born American."" It's accurate."	. --	neu	neu
QT30_nodeset25420_002	support	we can all learn from this	much more importantly we can make changes to our shared future	neu	neu
AAAI2018_012_27	attack	I'm talking about a law about cannabis it should never exist. I don't mind if people smoke or not. There are many other things natural but it harms. You are free to smoke but without legalizing. 	YES CANNABIS SHOULD BE LEGALIZED, CONSUMMATION IS A PERSONAL LIBERTY BUT some restriction must be imposed. 	contradiction	contradiction
FinARG_AMZN_Q2_2019_18436_7_04	support	it's growing and it's pervasive.	so yes, i would say, you're faced with the -- you see it every time you go to our site.	neu	neu
IBM_stance_1983	support	This house would unleash the free market	a market economy prevents long-term surpluses	neu	neu
US2016_nodeset10412_001	support	TRUMP's terrifying as a potential President, but fantastic as entertainment	Trump is really good at the theatrics of politics	neu	entailment
UKP_cloning_2229	neutral	Cloning should be considered as a promising opportunity for human development.	The child can therefore be seen as a gift to be accepted in a spirit of gratitude and openness , or can at least be encountered as a new and unique being whose characteristics and future are unknown .	neu	neu
IBM_stance_1741	attack	This house would encourage the creation of private universities in the UK	Public universities often have much lower tuition than private universities	neu	contradiction
Webis-Debate_0023	attack	Proposed merge of the content from an article called Home computer. Most of the content there overlaps or is redundant.	- it's useful to strip out the fad for the low-power 8-bit machines of the '80s from the general trend of personal computer usage. There was a lot more distance between the Commodore 64 at home and the XT at the office than is realized by modern users. --	neu	contradiction
AAAI2018_04_15	attack	The religion is an independent factor, it should not be a dissociative factor separating people. 	But people prefer to fight against the others to prove that their god is the strongest. 	contradiction	neu
ComArg_UGIP_0862	neutral	Whether or not under God was initially meant to mean the Christian God or not, it should not be considered offensive. Though I have grown up in a Christian household, the pledge has never been more to me about God than it is about my allegiance to the State. The phrase 'under God' should not be taken as more than a simple 'common good.' Despite what is heard from radicals and extremists about God's wrath, the majority of world consensus that has any understanding of the word 'God' from the Christian sense is that God is commonly good and supports that which is for the common good of society. So to me as a Christian, the phrase 'under God' is a poetic way of stating 'for the common good.'	Separation of state and religion	neu	contradiction
IJCAI2015_06_00	support	Even if there is not death they are responsible. 	They are responsible to my mind. 	neu	entailment
NK_deb_0368	attack	And if we let the nations of Africa and Asia and Latin America feel that the United States is the real obstacle to disarmament , that we are not sincere in our desire for peace - if we continue to let the Soviet Union seize the offensive in disarmament negotiations - then these emerging areas of the world may well turn away from America and the free world , and begin to look to the Communist bloc for leadership in the fight for peace . And , of course , we must also seek disarmament because the only alternative to pursuit of an effective disarmament agreement is the pursuit of our present course - the arms race , the gap , new weapons , the development of even higher orders of mutual terror resulting in the ever higher likelihood of mutual destruction . But we will not move toward disarmament and a secure peace , we will not be any closer to freedom from fear , if we simply follow Mr. Nixon 's plan for meetings , more conferences , more study groups and discussions .	We have to have the power because we are friends of peace . As long as America is the strongest nation in the world , the world need not fear that there will be war , because we will use our strength to keep peace , and I think that all of you , including those who are as dedicated to peace as I am , will say that we want the next President of the United States always to go the extra mile , as President Eisenhower has , to negotiate with Mr. Khrushchev or anybody else for disarmament . We want to go the extra mile to strengthen the United Nations and the instruments of peace , but under no circumstances do we want the next President to be a man who will be fooled , who will make concessions to them without getting concessions in return , and , above all , we do not want the next President to be one who will reduce the strength of America unless we 're absolutely sure that the enemies of peace are also reducing their strength at the same time .	neu	contradiction
US2016_nodeset10058_010	attack	the debate has been way too hostile	the debate got chippy only when Hillary Clinton chimes in	neu	neu
veri_15	entailment	Thomas has three children.	Thomas is a father.	entailment	entailment
Web_2495	support	to those unfamiliar with nick matzke he was one of the many instrumental contributors to the success of the kitzmiller v dover ruling as part of the plaintiffs team	i understand that michael behe is one of the participants on this forum and i am looking forward to his contributions addressing matzkes observations	neu	neu
ComArg_GM_1101	neutral	Yes, very much it should be allowed. Why do we have to force people who can't comply with straight marriage to do so? To those who are against it, what if the law didn't allow it, or for the religious types, what if the bible or whatever said it is wrong for a man to be with a woman, and the way to go, was for a man to be with a man. Could you people change and/or conform to that standard? If not, why should we force LGBT people to conform to that, right? After all, I bet alot of the antis are probably that, and are either brainwashed or secretly are ashamed of who they are, such as the case with Ted Haggard. Why do we have to force someone to comply with the standards of something frivolous, and absolutely ridiculous as marriage. Marriage is marriage, whether traditional or same sex. People fall in love with who they fall in love with. Hey, you don't have to attend their weddings, and I think that is probably what is making alot of people against it. They won't invite you, so don't worry about it, Don't flatter yourselves thinking that. To the LGBT people out there, I support your right to wed.	Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates	contradiction	contradiction
veri_04	contradiction	The film has very good critiques.	Critics consider the film as very bad.	contradiction	neu
Web_3411	attack	 yes if what you are saying is true then im for it	 no it is not falling apart	neu	neu
US2016_nodeset10813_014	support	CLINTON has been very consistent	like most human beings — including those of us who run for office — CLINTON does absorb new information	neu	contradiction
IBM_stance_1780	support	This house would only teach abstinence for sex education in schools	Premarital sex is considered to be morally objectionable	neu	entailment
JoDeb_norm_7740	attack	Turkey should be given membership in the EU.	Turkey EU membership should have nothing to do with religion.	neu	neu
FinARG_AAPL_Q1_2019_20349_5_05	support	one of those is through apple tv and you're well familiar with that product.	and i think that it'll likely take place at a much faster pace this year.	neu	neu
