ID	relation	seg1_text	seg2_text	annot_A3696EQ74RA3FY	annot_AR1X4OG7UKJK2
Web_3023	support	for the bible to be divinely inspired all the persons writing the bible or translating the bible had to be listening to god all the time	now the trick is to prove that all of the authors were free of stray thoughts and theological spin	contradiction	entailment
AAAI2018_08_07	support	 So, if we cannot manage this, we can just not allow anyone to have a gun. 	" I've been working in the educational field in USA, and there nothing worse than a kid talking about the gun of his father. As you cannot say ""the right to carry guns is for people without a kid only"". Than no right at all."	contradiction	entailment
micro_b005_01	support	Their tools, data and expertise have been used to keep us under surveillance for a long time.	but the German services evidently do collaborate with them closely.	neu	entailment
AbstRCT_15288288_00	attack	but long-term relief of dysphagia was better after brachytherapy.	Dysphagia improved more rapidly after stent placement than after brachytherapy,	contradiction	entailment
JoKialo_causal_73174	support	The EU has been a driver of equality policy in Europe.	The EU may in fact protect the citizens of the UK, through legal oversight, from the negative effects of poor policy making or implementation. Vulnerable and marginalised groups [have used](https://academic.oup.com/ejil/article/28/3/763/4616672#100347677) the European Court of Justice to bring numerous claims against the British Government for human rights abuses.	neu	entailment
veri_14	entailment	Anne goes to the gym 4 times per week.	Anne does a lot of sport.	entailment	entailment
QT50_nodeset28829_000	support	the UK cannot just tax our way out of it with a 70-year high tax rate that we have at the moment	what the UK government have to do now is explain exactly why they are doing what they are doing	neu	neu
US2016_nodeset11321_003	support	TRUMP wants to make America great again	Americans are a nation that is seriously troubled	contradiction	neu
AbstRCT_17244215_03	support	In the bimatoprost-treated group, the IOP reduction was 6.2 +/- 1.8 mmHg, whereas it was 6.5 +/- 2.3 mmHg in the timolol-dorzolamide group after 6 months of treatment.	Bimatoprost can be used as a longterm monotherapy agent in the treatment of POAG and ocular hypertension.	neu	neu
Web_0152	attack	I sense that Farage is a total megalomaniac, a charlatan, someone who is in it for the attention and the glory and that in a strange way, that many UKIP voters know this but don't seem to mind.	Nigel Farage understood people want us to do even more for hard-working people.	contradiction	contradiction
Webis-Debate_1667	support	::Overall, looking through the cited references, more than half appear to be primary (Masonic) sources, including some Masons' private webpages. There are populist published sources of questionable reliability on the topic of Freemasonry, and it obviously makes sense to avoid those. But there is also a wealth of authoritative academic sources on the topic, and we should not ignore these latter in favour of primary sources. Jayen466	in principle. Secondary <shortcut-placeholder> are preferable, but that doesn't mean primary sources shouldn't be used if the article text it supports is non-controversial (ie. we shouldn't throw out good text just because it is thinly referenced). I think the real issue with the quoted text above is that it is a bit masonic apologist and is therefore WP:POV. Both the criticism and the defense against the criticism could be removed without loss of article quality. --	contradiction	neu
Web_3892	attack	I support the truth and reconciliation commission	International and intergovernmental bodies are better able to secure justice for the victims of war crimes	neu	neu
veri_10	neu	The film is very overrated	A famous actor was in the film.	neu	neu
IJCAI2015_02_03	support	Welcome to the second debate! The topic of the second debate is Go nuclear! 	For example, we cannot prohibit children from using computer because it has some negative effect! what we do in such situation is that we control them remotely. Right? I think we should do the same for nuclear.	contradiction	contradiction
NK_deb_0112	neutral	[ Applause . ] The second bill that was up and which is an issue in this campaign was a bill to provide $ 1.25 minimum wage . Four-fifths of the Republicans in the House of Representatives , including the Congressman of this district , who is chairman of the congressional committee for all Republicans , voted against the $ 1.25 minimum wage for a 40-hour week , not for a business which is only ten , fifteen , or twenty-five thousand dollars a year , but for a business which makes more than $ 1 million a year , we wanted to pay them $ 1.25 by 1962 , not this year , but 1962 , and to pay those that were not covered by 1964 $ 1.25 , and four-fifths of the Republicans voted against it .	The administration 's position is in between . We would extend coverage to approximately 3 million not presently covered , and the coverage which we would extend is to those particular businesses which operate interstate and which have larger gross incomes and , therefore , businesses that we think could , therefore , pay the minimum wage , not resulting in unemployment , which might result if such businesses covered by the broader coverage of the Kennedy bill were brought under the minimum wage . I think the administration bill is the proper approach , and within the Senate at the present time , where the legislation currently is lodged , I am pressing for adoption of the administration bill .	neu	neu
FinARG_FB_Q1_2016_17256_7_05	support	i shared a stat before in some of my comments that on gear vr alone, we are now at more than 2 million hours of video have been watched on the platform,	so that's really exciting.	entailment	entailment
ArgEss_essay125_00	neutral	in this wonderful academic environment, everyone is provided with varieties and gigantic number of information by a lot of professors and well-trained teachers	people are able to strengthen their knowledge	entailment	entailment
AbstRCT_22370314_04	support	The 1-year PFS rates were 16.7% with gefitinib and 2.8% with GP (HR, 1.198; 95% CI, 0.944 to 1.520).	Gefitinib failed to demonstrate superior OS compared with GP as first-line therapy for NSLAs.	neu	neu
ComArg_UGIP_0795	neutral	It does not reflect my beliefs, no many peoples beliefs.  It supports only a theistic god, but perhaps I believe in Buddah or others?  Thus this is also unconstitutional.	Removing under god would promote religious tolerance	entailment	entailment
AAAI2018_04_10	support	Science without consciousness is the ruin of soul. 	I agree with the Participant4. I think in around 10 generations everybody will believe science and will give up religion. 	contradiction	contradiction
ArgEss_essay142_08	neutral	they are worth to have good care	the increase in life expectancy puts a high pressure on the economic system	neu	neu
US2016_nodeset10056_001	attack	"Bernie Sanders does not know the definition of ""national security threat."""	the end of the world affects the country	neu	contradiction
ArgEss_essay207_02	neutral	cities often offer more well-paid jobs and study chances compared to rural areas	they move to big cities to pursue academic career and find jobs in order to have a higher standard of living	entailment	entailment
