,0
cosine_miniLM,0.25274606650037396
jaccard_sim,0.17933035163357008
seg2_dependency_distance_mean,0.16702748129814826
seg2_prop_adjacent_dependency_relation_mean,0.14781601338213027
seg1_passed_quality_check,-0.1397700203208984
seg1_n_stop_words,-0.16494312825384408
seg1_doc_length,-0.15160998811770168
seg2_oov_ratio,-0.20596522099855533
seg1_pos_prop_ADJ,-0.10972682853160232
seg2_pos_prop_AUX,0.21034482432390053
seg2_pos_prop_DET,0.1029605358267034
seg1_pos_prop_NOUN,0.1660380825230543
seg2_pos_prop_NOUN,0.15698456475157782
seg1_pos_prop_NUM,-0.13287404837488398
seg1_pos_prop_PRON,-0.11887441018000111
seg2_pos_prop_PROPN,-0.21447331808582037
seg2_pos_prop_PUNCT,-0.11763217682993518
seg1_pos_prop_SCONJ,0.10655749729640387
seg1_pos_prop_VERB,0.1757118921727757
seg1_n_tokens,-0.14992257689691035
seg1_token_length_median,0.15549748917944303
seg2_sentence_length_median,0.16986195107445662
seg1_n_unique_tokens,-0.15110702238321586
seg1_n_characters,-0.14070897504436422
seg1_n_sentences,-0.15306735240942063
seg2_n_sentences,-0.21581053686399393
seg2_flesch_reading_ease,-0.12211622321013828
seg2_flesch_kincaid_grade,0.17669962747525225
seg2_gunning_fog,0.1609085476873334
seg2_automated_readability_index,0.14335531357111578
seg1_coleman_liau_index,0.11234136475886985
seg2_lix,0.17183959365382467
seg2_rix,0.23810376009736187
joint_first_order_coherence,0.17624101076922843
